ndb	name	kcal	protein	carbs	fats	fiber	sugar	sodium	sat_fat	p1	p1g	p2	p2g
10904	Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, unheated	200	19.7	0.43	13.26	0	0.43	838	4.373	1 oz, rump	28.35	1 lb, rump	453.6
10905	Pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated	117	14.05	4.21	4.99	0	4.21	1308	1.489	1 oz, whole	28.35	1 lb, whole	453.6
10906	Pork, cured, ham and water product, slice, bone-in, separable lean and fat, unheated	149	13.69	2.72	9.29	0	0.85	1099	3.076	1 oz	28.35	1 lb	453.6
10907	Pork, cured, ham and water product, shank, bone-in, separable lean and fat, unheated	243	14.28	1.42	20	0	0.86	936	6.583	1 oz, shank	28.35	1 lb, shank	453.6
10908	Pork, cured, ham and water product, rump, bone-in, separable lean and fat, unheated	179	16.09	1.35	12.13	0	0.88	990	3.984	1 oz, rump	28.35	1 lb, rump	453.6
10909	Pork, cured, ham -- water added, whole, boneless, separable lean and fat, unheated	121	17.06	1.42	5.38	0	1.42	1126	1.889	1 oz, whole	28.35	1 lb, whole	453.6
10910	Pork, cured, ham -- water added, slice, bone-in, separable lean and fat, unheated	164	15.73	1.1	10.77	0	1.1	1011	3.554	1 oz	28.35	1 lb	453.6
10911	Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, unheated	167	16.65	0.66	11.02	0	0.66	964	3.607	1 oz	28.35	1 lb	453.6
11303	Peas, edible-podded, frozen, cooked, boiled, drained, without salt	52	3.5	9.02	0.38	3.1	4.82	5	0.073	1 cup	160	1 package,  (10 oz) yields	253
11304	Peas, green, raw	81	5.42	14.45	0.4	5.7	5.67	5	0.071	1 cup	145		
11305	Peas, green, cooked, boiled, drained, without salt	84	5.36	15.63	0.22	5.5	5.93	3	0.039	1 cup	160		
11306	Peas, green, canned, regular pack, solids and liquids	58	3.01	10.6	0.48	3.3	3.2	185	0.086	.5 cup	124	1 can,  (303 x 406)	482
11308	Peas, green (includes baby and lesuer types), canned, drained solids, unprepared	68	4.47	11.36	0.8	4.9	2.99	273	0.143	1 cup	175	1 can,  (303 x 406)	313
11310	Peas, green, canned, seasoned, solids and liquids	50	3.09	9.25	0.27	2		254	0.048	1 cup	227	.5 cup	114
11311	Peas, green, canned, drained solids, rinsed in tap water	71	4.33	11.82	0.95			231	0.17	1 can	257	1 cup	163
11312	Peas, green, frozen, unprepared	77	5.22	13.62	0.4	4.5	5	108	0.066	1 cup	134	1 package	284
11313	Peas, green, frozen, cooked, boiled, drained, without salt	78	5.15	14.26	0.27	4.5	4.4	72	0.049	.5 cup	80	1 package,  (10 oz) yields	253
11316	Peas, mature seeds, sprouted, raw	124	8.8	27.11	0.68			20	0.124	1 cup	120		
11317	Peas, mature seeds, sprouted, cooked, boiled, drained, without salt	98	7.05	17.08	0.51			3	0.09				
11318	Peas and carrots, canned, regular pack, solids and liquids	38	2.17	8.48	0.27	2		260	0.049	1 cup	255		
11322	Peas and carrots, frozen, unprepared	53	3.4	11.15	0.47	3.4		79	0.084	.5 cup	70	1 package,  (10 oz)	284
11323	Peas and carrots, frozen, cooked, boiled, drained, without salt	48	3.09	10.12	0.42	3.1	4.36	68	0.077	1 package,  (10 oz) yields	278	.5 cup	80
11324	Peas and onions, canned, solids and liquids	51	3.28	8.57	0.38	2.3		442	0.068	1 cup	120		
11326	Peas and onions, frozen, unprepared	70	3.98	13.51	0.32	3.5		61	0.057	.5 cup	69	1 package,  (10 oz)	284
11327	Peas and onions, frozen, cooked, boiled, drained, without salt	45	2.54	8.63	0.2	2.2	3.77	37	0.036	1 cup	180		
11329	Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids	21	0.9	5.1	0.1	1.3	3.12	1173	0.01	1 pepper	73	.5 cup, chopped or diced	68
11333	Peppers, sweet, green, raw	20	0.86	4.64	0.17	1.7	2.4	3	0.058	1 cup, chopped	149	1 cup, sliced	92
11334	Peppers, sweet, green, cooked, boiled, drained, without salt	28	0.92	6.7	0.2	1.2	3.19	2	0.029	1 cup,  chopped or strips	135	1 tablespoon,  chopped	11.6
